,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DISPLAY_FIRST_LAST,DRAFT_YEAR,DRAFT_NUMBER
1431,201143,2023-24,00,1610612738,BOS,37.0,65,33,1740.0,214,419,0.511,108,258,0.419,26,30,0.867,82,331,413,168,38,62,48,93,562,Al Horford,2007,3
1436,1629659,2023-24,00,1610612762,UTA,23.0,51,11,1009.0,184,465,0.396,60,182,0.33,88,109,0.807,21,100,121,177,45,19,65,94,516,Talen Horton-Tucker,2019,46
1447,1627863,2023-24,00,1610612755,PHI,30.0,34,4,509.0,47,105,0.448,15,50,0.3,35,46,0.761,16,42,58,28,15,5,19,45,144,Danuel House Jr.,Undrafted,Undrafted
1449,1631216,2023-24,00,1610612753,ORL,21.0,59,13,815.0,80,206,0.388,72,193,0.373,21,26,0.808,28,56,84,29,15,4,16,61,253,Caleb Houstan,2022,32
1450,1641724,2023-24,00,1610612753,ORL,20.0,18,0,67.0,10,30,0.333,7,25,0.28,2,4,0.5,1,6,7,6,2,2,3,4,29,Jett Howard,2023,11
1456,1628989,2023-24,00,1610612758,SAC,25.0,64,59,1562.0,248,560,0.443,123,341,0.361,36,47,0.766,38,186,224,166,45,23,53,135,655,Kevin Huerter,2018,19
1459,1630643,2023-24,00,1610612743,DEN,26.0,20,0,49.0,9,15,0.6,3,9,0.333,2,2,1.0,2,9,11,2,2,3,1,9,23,Jay Huff,Undrafted,Undrafted
1464,1629631,2023-24,00,1610612737,ATL,26.0,57,37,1681.0,304,663,0.459,117,304,0.385,166,196,0.847,31,191,222,87,40,16,83,146,891,De'Andre Hunter,2019,4
1469,1630538,2023-24,00,1610612746,LAC,23.0,37,5,540.0,97,251,0.386,44,135,0.326,18,23,0.783,5,50,55,93,26,4,44,51,256,Bones Hyland,2021,26
1479,204060,2023-24,00,1610612753,ORL,36.0,68,0,1169.0,99,227,0.436,70,161,0.435,28,34,0.824,18,124,142,203,43,5,67,88,296,Joe Ingles,Undrafted,Undrafted
1487,1627742,2023-24,00,1610612740,NOP,26.0,64,64,2103.0,500,1017,0.492,86,242,0.355,246,307,0.801,43,281,324,363,50,40,163,145,1332,Brandon Ingram,2016,2
1502,202681,2023-24,00,1610612742,DAL,32.0,58,58,2030.0,562,1131,0.497,173,421,0.411,190,210,0.905,44,246,290,299,74,28,106,112,1487,Kyrie Irving,2011,1
1507,1628371,2023-24,00,1610612753,ORL,26.0,58,2,915.0,146,286,0.51,42,112,0.375,59,82,0.72,73,187,260,30,43,70,27,64,393,Jonathan Isaac,2017,6
1509,1631093,2023-24,00,1610612765,DET,22.0,77,61,2218.0,417,973,0.429,124,369,0.336,227,303,0.749,86,178,264,296,57,41,190,204,1185,Jaden Ivey,2022,5
1510,1641713,2023-24,00,1610612763,MEM,19.0,48,18,1233.0,241,563,0.428,102,286,0.357,115,153,0.752,53,143,196,59,28,24,65,64,699,GG Jackson,2023,45
1513,1630543,2023-24,00,1610612754,IND,22.0,60,3,771.0,155,233,0.665,0,4,0.0,73,102,0.716,94,144,238,50,34,61,39,137,383,Isaiah Jackson,2021,22
1532,202704,2023-24,00,1610612743,DEN,34.0,82,23,1817.0,326,756,0.431,102,284,0.359,79,98,0.806,33,122,155,308,44,13,106,149,833,Reggie Jackson,2011,24
1533,1641748,2023-24,00,1610612749,MIL,22.0,57,8,572.0,50,100,0.5,17,46,0.37,8,11,0.727,43,70,113,50,16,6,28,92,125,Andre Jackson Jr.,2023,36
1539,1628991,2023-24,00,1610612763,MEM,24.0,66,66,2124.0,516,1162,0.444,117,366,0.32,337,417,0.808,85,280,365,154,80,106,160,235,1486,Jaren Jackson Jr.,2018,4
1540,1631218,2023-24,00,1610612744,GSW,24.0,68,16,1130.0,233,332,0.702,0,1,0.0,74,132,0.561,135,206,341,82,29,76,49,108,540,Trayce Jackson-Davis,2023,57
1561,2544,2023-24,00,1610612747,LAL,39.0,71,71,2504.0,685,1269,0.54,149,363,0.41,303,404,0.75,61,457,518,589,89,38,245,78,1822,LeBron James,2003,1
1562,1631170,2023-24,00,1610612748,MIA,23.0,75,20,2113.0,341,697,0.489,65,202,0.322,142,175,0.811,82,203,285,195,77,20,110,167,889,Jaime Jaquez Jr.,2023,18
1568,1629610,2023-24,00,1610612752,NYK,26.0,17,0,46.0,6,17,0.353,2,10,0.2,0,2,0.0,0,5,5,5,0,1,3,2,14,DaQuan Jeffries,Undrafted,Undrafted
1573,1629660,2023-24,00,1610612739,CLE,26.0,2,0,15.0,2,4,0.5,0,1,0.0,0,0,0.0,1,0,1,3,0,0,1,2,4,Ty Jerome,2019,24
1577,1630198,2023-24,00,1610612760,OKC,24.0,78,1,1445.0,222,485,0.458,147,353,0.416,45,52,0.865,32,148,180,99,46,22,47,87,636,Isaiah Joe,2020,49
1584,1629661,2023-24,00,1610612751,BKN,28.0,58,47,1599.0,276,619,0.446,138,353,0.391,86,109,0.789,55,196,251,138,49,15,57,105,776,Cameron Johnson,2019,11
1587,1630552,2023-24,00,1610612737,ATL,22.0,56,52,1889.0,359,702,0.511,71,200,0.355,107,147,0.728,74,414,488,203,67,47,101,133,896,Jalen Johnson,2021,20
1592,1629640,2023-24,00,1610612759,SAS,24.0,69,27,2038.0,391,862,0.454,127,367,0.346,175,221,0.792,95,282,377,195,51,20,100,149,1084,Keldon Johnson,2019,29
1597,1630553,2023-24,00,1610612751,BKN,22.0,5,0,61.0,8,21,0.381,4,10,0.4,11,12,0.917,3,4,7,3,3,1,5,5,31,Keon Johnson,2021,21
1598,1641749,2023-24,00,1610612760,OKC,24.0,9,0,66.0,5,16,0.313,1,3,0.333,0,0,0.0,4,6,10,4,1,0,4,5,11,Keyontae Johnson,2023,50
1607,203999,2023-24,00,1610612743,DEN,29.0,79,79,2737.0,822,1411,0.583,83,231,0.359,358,438,0.817,223,753,976,708,108,68,237,194,2085,Nikola Jokic,2014,41
1608,1641732,2023-24,00,1610612758,SAC,22.0,30,0,192.0,28,71,0.394,2,22,0.091,6,11,0.545,17,23,40,20,7,5,10,29,64,Colby Jones,2023,34
1621,1627745,2023-24,00,1610612739,CLE,28.0,39,0,270.0,43,72,0.597,3,14,0.214,18,21,0.857,20,42,62,15,7,13,13,27,107,Damian Jones,2016,30
1624,1630529,2023-24,00,1610612740,NOP,25.0,76,76,2321.0,293,588,0.498,114,273,0.418,137,158,0.867,74,198,272,199,105,62,93,224,837,Herbert Jones,2021,35
1628,1630200,2023-24,00,1610612759,SAS,24.0,77,48,2138.0,303,600,0.505,64,191,0.335,101,118,0.856,58,231,289,478,78,9,116,92,771,Tre Jones,2020,41
1637,1626145,2023-24,00,1610612764,WAS,28.0,66,66,1933.0,326,666,0.489,106,256,0.414,32,40,0.8,20,159,179,485,71,18,66,48,790,Tyus Jones,2015,24
1647,1627884,2023-24,00,1610612742,DAL,27.0,76,66,1783.0,239,495,0.483,82,239,0.343,97,136,0.713,82,168,250,75,53,51,65,121,657,Derrick Jones Jr.,Undrafted,Undrafted
1667,201599,2023-24,00,1610612743,DEN,35.0,36,2,396.0,58,93,0.624,0,0,0.0,26,53,0.491,54,103,157,26,6,16,23,56,142,DeAndre Jordan,2008,35
1682,202709,2023-24,00,1610612744,GSW,32.0,26,0,296.0,23,64,0.359,13,42,0.31,4,7,0.571,6,24,30,42,4,3,12,25,63,Cory Joseph,2011,29
1684,1631107,2023-24,00,1610612748,MIA,20.0,46,38,896.0,127,281,0.452,65,163,0.399,33,47,0.702,25,167,192,90,25,14,42,82,352,Nikola Jovic,2022,27
1686,1630548,2023-24,00,1610612762,UTA,23.0,20,5,372.0,51,110,0.464,32,77,0.416,10,14,0.714,7,29,36,23,4,2,13,29,144,Johnny Juzang,Undrafted,Undrafted
1695,1628379,2023-24,00,1610612763,MEM,27.0,39,22,999.0,141,315,0.448,107,238,0.45,40,45,0.889,11,102,113,136,20,2,54,39,429,Luke Kennard,2017,12
1697,1631117,2023-24,00,1610612762,UTA,22.0,64,22,1493.0,229,350,0.654,4,19,0.211,56,93,0.602,165,316,481,60,30,154,66,132,518,Walker Kessler,2022,22
1702,1630296,2023-24,00,1610612743,DEN,27.0,20,0,60.0,7,17,0.412,2,5,0.4,6,8,0.75,3,15,18,9,2,1,1,5,22,Braxton Key,Undrafted,Undrafted
1705,1630557,2023-24,00,1610612764,WAS,25.0,80,22,2067.0,386,794,0.486,184,480,0.383,114,157,0.726,30,195,225,156,41,16,98,141,1070,Corey Kispert,2021,15
1712,1628467,2023-24,00,1610612742,DAL,32.0,43,7,871.0,63,146,0.432,32,92,0.348,33,47,0.702,30,113,143,68,17,30,28,79,191,Maxi Kleber,Undrafted,Undrafted
1725,1628995,2023-24,00,1610612765,DET,24.0,31,11,560.0,86,186,0.462,31,94,0.33,20,22,0.909,18,57,75,23,13,7,22,50,223,Kevin Knox II,2018,9
1731,1629723,2023-24,00,1610612763,MEM,28.0,55,23,1174.0,88,208,0.423,38,120,0.317,21,25,0.84,72,185,257,110,51,51,46,76,235,John Konchar,Undrafted,Undrafted
1738,1627788,2023-24,00,1610612755,PHI,26.0,35,0,300.0,30,76,0.395,14,40,0.35,14,20,0.7,4,26,30,25,14,3,10,17,88,Furkan Korkmaz,2016,26
1750,1628436,2023-24,00,1610612738,BOS,28.0,63,7,983.0,142,203,0.7,1,1,1.0,49,54,0.907,118,143,261,67,23,61,21,77,334,Luke Kornet,Undrafted,Undrafted
1753,1630228,2023-24,00,1610612744,GSW,21.0,74,46,1949.0,456,862,0.529,53,165,0.321,223,299,0.746,92,263,355,163,55,36,122,169,1188,Jonathan Kuminga,2021,7
1760,1628398,2023-24,00,1610612764,WAS,28.0,70,70,2281.0,608,1313,0.463,151,450,0.336,186,240,0.775,62,402,464,296,37,49,192,153,1553,Kyle Kuzma,2017,27
1762,1631222,2023-24,00,1610612763,MEM,22.0,35,6,806.0,118,303,0.389,53,156,0.34,90,109,0.826,51,77,128,58,29,12,45,69,379,Jake LaRavia,2022,19
1772,203897,2023-24,00,1610612741,CHI,29.0,25,23,872.0,170,376,0.452,59,169,0.349,88,103,0.854,8,121,129,98,21,8,52,57,487,Zach LaVine,2014,13
1775,1629111,2023-24,00,1610612745,HOU,28.0,56,3,764.0,106,206,0.515,10,40,0.25,52,65,0.8,88,84,172,65,20,33,31,74,274,Jock Landale,Undrafted,Undrafted
1779,1630639,2023-24,00,1610612742,DAL,23.0,42,0,311.0,54,121,0.446,13,50,0.26,15,23,0.652,14,36,50,20,10,3,14,22,136,A.J. Lawson,Undrafted,Undrafted
1791,1627747,2023-24,00,1610612739,CLE,29.0,68,10,1958.0,345,820,0.421,108,332,0.325,154,201,0.766,39,241,280,346,76,34,117,121,952,Caris LeVert,2016,20
1803,1630240,2023-24,00,1610612756,PHX,24.0,24,0,185.0,20,55,0.364,2,16,0.125,29,39,0.744,9,22,31,30,7,3,8,13,71,Saben Lee,2020,38
1818,203458,2023-24,00,1610612758,SAC,30.0,48,0,444.0,50,81,0.617,0,3,0.0,20,34,0.588,46,82,128,50,11,33,27,66,120,Alex Len,2013,5
1830,202695,2023-24,00,1610612746,LAC,32.0,68,68,2330.0,610,1162,0.525,140,336,0.417,253,286,0.885,84,332,416,244,111,59,119,97,1613,Kawhi Leonard,2011,15
1831,1641721,2023-24,00,1610612747,LAL,21.0,34,0,103.0,4,21,0.19,1,9,0.111,2,3,0.667,2,2,4,6,2,1,10,5,11,Maxwell Lewis,2023,40
1835,1630184,2023-24,00,1610612740,NOP,23.0,15,0,144.0,16,52,0.308,2,20,0.1,10,11,0.909,4,10,14,18,5,1,8,8,44,Kira Lewis Jr.,2020,13
1836,1630184,2023-24,00,1610612761,TOR,23.0,1,0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,Kira Lewis Jr.,2020,13
1837,1630184,2023-24,00,1610612762,UTA,23.0,12,0,119.0,18,40,0.45,2,13,0.154,7,9,0.778,5,7,12,19,4,1,6,4,45,Kira Lewis Jr.,2020,13
1839,1630604,2023-24,00,1610612740,NOP,23.0,8,0,23.0,1,6,0.167,0,5,0.0,2,2,1.0,0,5,5,1,2,2,2,2,4,E.J. Liddell,2022,41
1851,203081,2023-24,00,1610612749,MIL,33.0,73,73,2578.0,541,1277,0.424,220,622,0.354,473,514,0.92,36,284,320,508,72,18,193,134,1775,Damian Lillard,2012,6
1856,1629642,2023-24,00,1610612756,PHX,24.0,45,2,458.0,57,124,0.46,21,70,0.3,17,20,0.85,14,61,75,21,10,10,14,39,152,Nassir Little,2019,25
1857,1641726,2023-24,00,1610612742,DAL,20.0,55,42,1294.0,221,296,0.747,0,2,0.0,41,81,0.506,135,243,378,60,36,77,50,144,483,Dereck Lively II,2023,12
1860,1630587,2023-24,00,1610612765,DET,25.0,23,6,469.0,40,116,0.345,22,77,0.286,12,18,0.667,15,33,48,25,13,5,16,43,114,Isaiah Livers,2021,42
1861,1641753,2023-24,00,1610612749,MIL,20.0,21,0,91.0,11,22,0.5,1,5,0.2,3,4,0.75,3,18,21,5,2,0,5,15,26,Chris Livingston,2023,58
1863,1631254,2023-24,00,1610612763,MEM,21.0,15,0,99.0,14,37,0.378,3,10,0.3,8,15,0.533,2,13,15,14,3,3,6,15,39,Kenneth Lofton Jr.,Undrafted,Undrafted
1864,1631254,2023-24,00,1610612755,PHI,21.0,2,0,9.0,1,6,0.167,0,2,0.0,0,0,0.0,0,3,3,0,0,0,2,0,2,Kenneth Lofton Jr.,Undrafted,Undrafted
1865,1631254,2023-24,00,1610612762,UTA,21.0,4,0,91.0,21,35,0.6,4,12,0.333,9,11,0.818,10,10,20,19,3,2,6,9,55,Kenneth Lofton Jr.,Undrafted,Undrafted
1875,1626172,2023-24,00,1610612744,GSW,28.0,74,36,1194.0,139,233,0.597,0,1,0.0,56,83,0.675,143,276,419,133,28,29,50,155,334,Kevon Looney,2015,30
1891,201572,2023-24,00,1610612749,MIL,36.0,79,79,2411.0,366,755,0.485,148,404,0.366,110,134,0.821,117,292,409,127,43,189,79,191,990,Brook Lopez,2008,10
1907,201577,2023-24,00,1610612749,MIL,36.0,16,2,65.0,7,19,0.368,2,8,0.25,2,2,1.0,3,2,5,4,1,3,2,7,18,Robin Lopez,2008,15
1925,201567,2023-24,00,1610612748,MIA,35.0,55,5,924.0,158,359,0.44,84,244,0.344,85,108,0.787,59,279,338,115,18,10,48,97,485,Kevin Love,2008,5
1945,200768,2023-24,00,1610612748,MIA,38.0,37,35,1037.0,103,242,0.426,62,161,0.385,35,42,0.833,25,104,129,147,39,15,53,94,303,Kyle Lowry,2006,24
1946,200768,2023-24,00,1610612755,PHI,38.0,23,20,653.0,60,135,0.444,36,89,0.404,28,33,0.848,9,56,65,106,20,6,32,52,184,Kyle Lowry,2006,24
1948,1641754,2023-24,00,1610612737,ATL,24.0,9,0,52.0,4,17,0.235,3,13,0.231,3,4,0.75,1,6,7,0,0,0,1,6,14,Seth Lundy,2023,46
1959,1626168,2023-24,00,1610612758,SAC,28.0,58,0,1158.0,143,321,0.445,84,219,0.384,49,70,0.7,61,196,257,72,17,19,38,86,419,Trey Lyles,2015,12
1963,1630177,2023-24,00,1610612766,CHA,22.0,13,1,200.0,19,66,0.288,5,30,0.167,11,12,0.917,4,19,23,28,7,0,15,18,54,Theo Maledon,2020,34
1964,1630177,2023-24,00,1610612756,PHX,22.0,4,0,13.0,1,4,0.25,0,0,0.0,3,3,1.0,0,1,1,0,0,0,3,3,5,Theo Maledon,2020,34
1970,1630572,2023-24,00,1610612759,SAS,25.0,46,5,451.0,73,155,0.471,19,64,0.297,25,34,0.735,45,102,147,49,7,12,19,35,190,Sandro Mamukelashvili,2021,54
1975,1629611,2023-24,00,1610612746,LAC,27.0,75,71,1873.0,254,493,0.515,71,204,0.348,79,95,0.832,87,167,254,119,43,15,48,145,658,Terance Mann,2019,48
1978,1630544,2023-24,00,1610612760,OKC,23.0,13,0,119.0,20,40,0.5,8,19,0.421,1,1,1.0,4,20,24,20,3,0,9,3,49,Tre Mann,2021,18
1979,1630544,2023-24,00,1610612766,CHA,23.0,28,28,868.0,125,276,0.453,39,107,0.364,44,58,0.759,16,109,125,145,48,3,56,45,333,Tre Mann,2021,18
1993,1626246,2023-24,00,1610612745,HOU,35.0,14,0,71.0,18,34,0.529,0,2,0.0,9,14,0.643,7,25,32,6,1,2,5,5,45,Boban Marjanovic,Undrafted,Undrafted
2000,1628374,2023-24,00,1610612762,UTA,27.0,55,55,1820.0,427,890,0.48,175,439,0.399,249,277,0.899,122,327,449,110,50,26,77,100,1278,Lauri Markkanen,2017,7
2004,1630230,2023-24,00,1610612740,NOP,26.0,66,1,1257.0,170,367,0.463,58,150,0.387,68,86,0.791,53,187,240,128,49,12,65,91,466,Naji Marshall,Undrafted,Undrafted
2009,1628997,2023-24,00,1610612748,MIA,28.0,64,23,1757.0,241,559,0.431,81,232,0.349,77,99,0.778,74,207,281,143,47,29,77,126,640,Caleb Martin,Undrafted,Undrafted
2014,1628998,2023-24,00,1610612766,CHA,28.0,28,22,753.0,82,215,0.381,27,86,0.314,20,33,0.606,19,90,109,104,32,18,44,48,211,Cody Martin,2019,36
2018,1630231,2023-24,00,1610612746,LAC,23.0,2,0,31.0,4,10,0.4,1,5,0.2,1,2,0.5,1,2,3,1,2,1,2,3,10,KJ Martin,2020,52
2019,1630231,2023-24,00,1610612755,PHI,23.0,58,2,715.0,93,171,0.544,7,23,0.304,21,39,0.538,40,88,128,50,20,11,30,97,214,KJ Martin,2020,52
2027,1629726,2023-24,00,1610612737,ATL,27.0,66,5,992.0,103,226,0.456,85,193,0.44,34,42,0.81,17,75,92,37,20,8,19,115,325,Garrison Mathews,Undrafted,Undrafted
2029,1631097,2023-24,00,1610612754,IND,21.0,59,19,1538.0,296,663,0.446,80,214,0.374,184,224,0.821,60,174,234,119,35,14,97,117,856,Bennedict Mathurin,2022,6
2047,202083,2023-24,00,1610612737,ATL,37.0,36,3,413.0,34,97,0.351,24,69,0.348,18,24,0.75,9,44,53,23,16,11,8,43,110,Wesley Matthews,Undrafted,Undrafted
2051,1630178,2023-24,00,1610612755,PHI,23.0,70,70,2626.0,638,1419,0.45,212,569,0.373,328,378,0.868,36,222,258,433,69,33,116,151,1816,Tyrese Maxey,2020,21
2055,1630219,2023-24,00,1610612757,POR,26.0,21,5,356.0,53,138,0.384,14,49,0.286,13,17,0.765,9,28,37,75,14,3,18,20,133,Skylar Mays,2020,50
2056,1630219,2023-24,00,1610612747,LAL,26.0,17,0,77.0,10,21,0.476,2,5,0.4,0,0,0.0,1,5,6,10,7,1,2,6,22,Skylar Mays,2020,50
2060,1630540,2023-24,00,1610612752,NYK,23.0,68,14,1328.0,205,454,0.452,109,266,0.41,43,50,0.86,31,69,100,114,50,7,30,108,562,Miles McBride,2021,36
2073,203468,2023-24,00,1610612740,NOP,32.0,66,66,2159.0,484,1055,0.459,239,557,0.429,115,139,0.827,39,247,286,305,62,41,110,126,1322,CJ McCollum,2013,10
2082,204456,2023-24,00,1610612754,IND,32.0,71,4,1291.0,330,593,0.556,18,44,0.409,49,62,0.79,36,155,191,390,72,8,108,79,727,T.J. McConnell,2015,
2086,1630183,2023-24,00,1610612750,MIN,23.0,72,71,2105.0,307,628,0.489,86,255,0.337,57,79,0.722,56,168,224,101,63,42,87,219,757,Jaden McDaniels,2020,28
2093,1629667,2023-24,00,1610612761,TOR,26.0,50,1,538.0,65,189,0.344,12,71,0.169,27,37,0.73,18,61,79,37,19,6,30,52,169,Jalen McDaniels,2019,52
2107,203926,2023-24,00,1610612759,SAS,32.0,46,0,700.0,95,215,0.442,76,173,0.439,10,17,0.588,8,40,48,57,11,2,24,48,276,Doug McDermott,2014,11
2108,203926,2023-24,00,1610612754,IND,32.0,18,0,204.0,28,69,0.406,18,56,0.321,1,2,0.5,2,9,11,13,5,0,4,16,75,Doug McDermott,2014,11
2131,201580,2023-24,00,1610612758,SAC,36.0,46,0,339.0,79,132,0.598,1,7,0.143,26,45,0.578,42,84,126,17,14,20,34,46,185,JaVale McGee,2008,18
2133,1631121,2023-24,00,1610612766,CHA,21.0,59,14,882.0,101,230,0.439,34,102,0.333,66,85,0.776,17,85,102,51,21,10,30,74,302,Bryce McGowens,2022,40
2138,1629162,2023-24,00,1610612750,MIN,28.0,56,0,626.0,70,145,0.483,42,89,0.472,13,18,0.722,18,54,72,110,35,7,19,31,195,Jordan McLaughlin,Undrafted,Undrafted
2144,1629001,2023-24,00,1610612755,PHI,26.0,38,33,1023.0,139,360,0.386,77,214,0.36,66,79,0.835,28,113,141,114,60,16,39,84,421,De'Anthony Melton,2018,46
2148,1630241,2023-24,00,1610612739,CLE,28.0,61,1,1069.0,158,393,0.402,143,354,0.404,26,28,0.929,22,98,120,108,19,4,19,72,485,Sam Merrill,2020,60
2154,1629002,2023-24,00,1610612756,PHX,27.0,37,5,448.0,66,130,0.508,15,51,0.294,38,43,0.884,24,86,110,19,19,9,27,39,185,Chimezie Metu,2018,49
2155,1629002,2023-24,00,1610612765,DET,27.0,14,7,411.0,57,114,0.5,13,43,0.302,20,21,0.952,17,67,84,27,24,7,25,32,147,Chimezie Metu,2018,49
2157,203995,2023-24,00,1610612760,OKC,30.0,30,0,361.0,37,91,0.407,11,45,0.244,14,19,0.737,1,23,24,76,9,3,29,22,99,Vasilije Micic,2014,52
2158,203995,2023-24,00,1610612766,CHA,30.0,30,21,815.0,122,279,0.437,32,109,0.294,47,56,0.839,13,51,64,186,22,4,70,46,323,Vasilije Micic,2014,52
2171,203114,2023-24,00,1610612749,MIL,32.0,55,55,1487.0,317,643,0.493,94,247,0.381,100,120,0.833,40,217,257,292,51,15,127,141,828,Khris Middleton,2012,39
2172,1641706,2023-24,00,1610612766,CHA,21.0,74,68,2383.0,476,1083,0.44,184,493,0.373,143,173,0.827,60,255,315,175,66,42,132,184,1279,Brandon Miller,2023,2
2173,1641757,2023-24,00,1610612746,LAC,24.0,8,0,28.0,5,9,0.556,1,2,0.5,2,2,1.0,3,2,5,0,0,0,1,2,13,Jordan Miller,2023,48
